AN	GI	Species	Genome_length	ncbi_name	ncbi_taxid
AM181033.1	115345053	Phoca caspica	16737	Pusa caspica	693431
AM181034.1	115345067	Phoca sibirica	16773	Pusa sibirica	9719
AM181036.1	115345095	Phoca hispida	16754	Pusa hispida	9718
AM181037.1	115345109	Vulpes vulpes	16813	Vulpes vulpes	9627
AM237310.1	116634247	Apus apus	17037	Apus apus	8895
AM711898.1	155368569	Spilogale putorius	16597	Spilogale putorius	30552
AM711900.1	155368597	Meles meles 	16442	Meles meles	9662
AM711902.1	151416762	Canis lupus lupus 	16757	Canis lupus lupus	443256
AM904727.1	166788062	Dendrohyrax dorsalis	16590	Dendrohyrax dorsalis	42325
AM904729.1	166788090	Eremitalpa granti	16602	Eremitalpa granti	481707
AM905040.1	166788118	Eulemur mongoz	16686	Eulemur mongoz	34828
AM905041.1	166788132	Hylomys suillus	17290	Hylomys suillus	48897
AP003324.1	71040235	Gallus varius	16783	Gallus varius	9034
AP003325.1	71040249	Gallus lafayetii	16841	Gallus lafayettii	9032
AP005595.1	54144448	Numida meleagris	16726	Numida meleagris	8996
AP006471.1	62086636	Eschrichtius robustus	16413	Eschrichtius robustus	9764
AP006475.1	62086692	Caperea marginata	16384	Caperea marginata	27604
AP006741.1	71040263	Gallus sonneratii	16841	Gallus sonneratii	9033
AP008238.1	77999947	Spizaetus nipalensis	17667	Nisaetus nipalensis	214438
AP008239.1	77999961	Spizaetus alboniger	17977	Nisaetus alboniger	307441
AP009189.1	108755455	Eudyptes chrysocome nearly complete genome	16930	Eudyptes chrysocome	79626
AP009191.1	108755483	Procellaria cinerea nearly complete genome	14818	Procellaria cinerea	46542
AP009192.1	108755496	Fregata sp. nearly complete genome	14790	Fregata sp. 2815okinawa	388734
AP009193.1	108755509	Diomedea chrysostoma nearly complete genome	14887	Thalassarche chrysostoma	54025
AP009194.1	108755522	Podiceps cristatus nearly complete genome	16134	Podiceps cristatus	345573
AP010821.1	224471563	Hypotaenidia okinawae	18404	Hypotaenidia okinawae	2861861
AP010822.1	224471577	Rallina eurizonoides sepiaria	16942	Rallina eurizonoides sepiaria	547198
AP010823.1	224471591	Coturnicops exquisitus	17136	Coturnicops exquisitus	548806
AP011544.1	307777727	Phrynoderma hexadactylum	20280	Phrynoderma hexadactylum	2927596
AP013032.1	530671830	Chrysomallon squamiferum	15388	Chrysomallon squamiferum	216257
AP014544.1	1995282497	Plakobranchus ocellatus	14173	Plakobranchus ocellatus	259542
AP014560.1	1043385530	Bathymodiolus japonicus	17510	Bathymodiolus japonicus	220391
AP014561.1	1043385544	Gigantidas platifrons	17653	Gigantidas platifrons	2830794
AP014562.1	1043385558	Bathymodiolus septemdierum	17069	Bathymodiolus septemdierum	220392
AP014656.1	953763777	Fabaeformiscandona kushiroensis nearly complete sequence	16355	Fabaeformiscandona kushiroensis	1564202
AP014695.1	1112915355	Xenopus cf. tropicalis	17700	Xenopus cf. tropicalis Asashima-A-001	1589957
AP017314.1	1067639084	Apis cerana japonica	15917	Apis cerana japonica	292787
AP017643.1	1139379270	Apis koschevnikovi	15278	Apis koschevnikovi	7468
AP017662.1	1139379284	Bombus hypocrita hypocrita	15795	Bombus hypocrita hypocrita	130702
AP018118.1	1368653407	Cyrtodactylus tigroides 	16929	Cyrtodactylus tigroides	1234048
AP018158.2	1897228502	Bombus florilegus	15763	Bombus florilegus	130694
AP018403.1	1767334379	Apis mellifera carpatica	16336	Apis mellifera carpatica	1049035
AP018404.1	1767334393	Apis mellifera caucasica	16341	Apis mellifera caucasica	200407
AP018522.1	1352290372	Dryococelus australis	16604	Dryococelus australis	614101
AP019520.1	1594414450	Scyliorhinus torazame 	17861	Scyliorhinus torazame	75743
AY126697.1	37545825	Bos indicus	16341	Bos indicus	9915
AY274302.1	46452270	Eriocheir japonica sinensis 	16354	Eriocheir sinensis	95602
AY278317.1	37957983	Pachypsylla venusta 	14711	Pachypsylla venusta	38123
AY456186.1	41352316	Armillifer armillatus 	16747	Armillifer armillatus	260804
AY456189.1	41352358	Hutchinsoniella macracantha 	16491	Hutchinsoniella macracantha	84335
AY525783.1	41216606	Raja porosa 	16972	Okamejei kenojei	432798
AY572538.1	45774897	Aleurochiton aceris 	15388	Aleurochiton aceris	266942
AY572539.1	45685356	Neomaskellia andropogonis 	14496	Neomaskellia andropogonis	266944
AY728222.1	51979883	Plethodon petraeus 	19235	Plethodon petraeus	154587
AY728232.1	51980023	Plethodon cinereus 	20001	Plethodon cinereus	141976
AY729880.1	51872055	Canis familiaris 	16756	Canis lupus familiaris	9615
AY863426.1	61743821	Cercopithecus aethiops 	16389	Chlorocebus aethiops	9534
AY875213.1	58258030	Homalodisca coagulata 	15304	Homalodisca vitripennis	197043
AY899242.1	58220734	Limnonectes bannaensis	16867	Limnonectes bannaensis	613120
BK010379.1	1607239482	Pseudomyrmex feralis 	18835	Pseudomyrmex feralis	1929243
BK010380.1	1607239496	Pseudomyrmex ferrugineus 	18480	Pseudomyrmex ferrugineus	547995
BK010381.1	1607239510	Pseudomyrmex flavicornis 	18498	Pseudomyrmex flavicornis	292159
BK010382.1	1607239524	Pseudomyrmex janzeni 	18380	Pseudomyrmex janzeni	600724
BK010383.1	1607239538	Pseudomyrmex pallidus 	17117	Pseudomyrmex pallidus	56622
BK010384.1	1607239552	Pseudomyrmex particeps 	18524	Pseudomyrmex particeps	600742
BK010385.1	1607239566	Pseudomyrmex peperi 	18709	Pseudomyrmex peperi	600674
BK010386.1	1607239580	Pseudomyrmex veneficus 	18410	Pseudomyrmex veneficus	600766
BK010387.1	1607239594	Tetraponera rufonigra	15907	Tetraponera rufonigra	28640
BK010472.1	1607239608	Pseudomyrmex gracilis 	15704	Pseudomyrmex gracilis	219809
BK010473.1	1607239622	Pseudomyrmex dendroicus 	17362	Pseudomyrmex dendroicus	292155
BK010474.1	1607239636	Pseudomyrmex elongatus 	17304	Pseudomyrmex elongatus	600709
BK010475.1	1607239650	Pseudomyrmex concolor 	15906	Pseudomyrmex concolor	292152
BK010476.1	1607239664	Tetraponera aethiops 	15988	Tetraponera aethiops	219813
BK010477.1	1493555908	Elliptio complanata	14426	Elliptio complanata	55832
BK010479.1	1493555935	Leaunio lienosus	15283	Leaunio lienosus	2569902
BK010480.1	1493555949	Uniomerus tetralasmus	15250	Uniomerus tetralasmus	55831
BK010487.1	1635383823	Sceloporus woodi 	17271	Sceloporus woodi	59726
BK010918.1	1736207144	Arctocephalus gazella 	16156	Arctocephalus gazella	37190
BK013352.1	2000201108	Pyrgus malvae	15380	Pyrgus malvae	218760
BK059216.1	2216477953	Dichelops melacanthus 	15367	Dichelops melacanthus	1225065
BK059217.1	2216477967	Stiretrus anchorago 	16600	Stiretrus anchorago	1891344
BK059218.1	2216477981	Euschistus heros 	15499	Euschistus heros	437493
BK061227.1	2556363067	Junonia vestina livia	15197	Junonia vestina livia	2691559
BK062819.1	2463630250	Neodiprion lecontei 	16067	Neodiprion lecontei	441921
BK062825.1	2484152835	Odocoileus pandora 	16419	Odocoileus pandora	1380314
DQ080041.1	67005635	Geochelone pardalis	19403	Stigmochelys pardalis	569598
DQ238598.1	78057821	Tritia obsoleta	15263	Tritia obsoleta	1934733
DQ241799.1	82541839	Timema californicum	14387	Timema californicum	61474
DQ302100.1	82880282	Vanhornia eucnemidarum 	16574	Vanhornia eucnemidarum	32432
DQ333813.1	84371561	Pseudohynobius tsinpaensis 	16380	Liua tsinpaensis	245147
DQ355300.1	88174274	Pygathrix roxellana 	16549	Rhinopithecus roxellana	61622
DQ355301.1	88174288	Procolobus badius 	16595	Piliocolobus badius	164648
DQ442914.1	90576651	Ligia oceanica	15289	Ligia oceanica	96856
DQ991932.1	118457506	Hydatina physis	14153	Hydatina physis	259632
EF058308.1	117649968	Cervus nippon taiouanus 	16430	Cervus nippon taiouanus	37550
EF081250.1	116876177	Oscarella carmela	20327	Oscarella carmela	386100
EF211991.1	122003918	Nucula nucleus	13671	Nucula nucleus	47129
EF221760.1	125541868	Metaseiulus occidentalis	24961	Galendromus occidentalis	34638
EF558665.1	145967288	Naemorhedus swinhoei 	16524	Capricornis swinhoei	34866
EF597503.1	147712874	Chlorocebus sabaeus 	16230	Chlorocebus sabaeus	60711
EU302588.1	161334783	Abispa ephippium 	16953	Abispa ephippium	485912
EU376027.1	165909355	Paradoxornis heudei 	16928	Paradoxornis heudei	3150879
EU420129.1	168202708	Shinkaia crosnieri 	15182	Shinkaia crosnieri	480484
EU523754.1	169649096	Calisoga longitarsis	14070	Calisoga longitarsis	394809
EU579522.1	170774079	Bungarus multicinctus 	17144	Bungarus multicinctus	8616
EU877959.1	218527062	Paracyclopina nana 	15981	Paracyclopina nana	565004
FJ006724.1	197107813	Laternaria candelaria 	16021	Pyrops candelaria	553985
FJ032363.2	222431907	Canis lupus laniger 	16723	Canis lupus laniger	554455
FJ207522.1	207559784	Ammotragus lervia	16540	Ammotragus lervia	9899
FJ360694.1	209887388	Sivaloka damnosus 	15287	Sivaloka damnosus	568780
FJ456950.1	215789089	Ochterus marginatus 	14609	Ochterus marginatus	280162
FJ532058.1	217331592	Protohynobius puxiongensis	16398	Pseudohynobius puxiongensis	581055
FJ555185.1	223047008	Onisimus nanseni 	14734	Onisimus nanseni	583350
FJ611801.1	223007052	Wallacidia oculata 	18442	Wallacidia oculata	590134
FJ769845.1	224504037	Grus virgo 	16541	Anthropoides virgo	9111
FJ790313.1	224979717	Eophreatoicus karrkkanj	14994	Eophreatoicus karrkkanj	496899
FJ799728.1	225423178	Tetraophasis szechenyii 	16706	Tetraophasis szechenyii	459760
FN562577.1	288995504	Ophiocomina nigra	17383	Ophiocomina nigra	55617
FN562578.1	288995518	Amphipholis squamata	16907	Amphipholis squamata	48271
FN666602.1	358246568	Planigale sp. Partial genome	15434	Planigale sp. AJ-2010	717634
FN908482.1	335334540	Rhabdopleura compacta	15814	Rhabdopleura compacta	638968
FR872382.1	413958159	Bahadzia jaraguensis	14657	Bahadzia jaraguensis	1041811
GQ222414.1	239764794	Phytoseiulus persimilis	16199	Phytoseiulus persimilis	44414
GQ225110.1	239736269	Loligo opalescens	17387	Doryteuthis opalescens	1051066
GQ368657.1	255077701	Dicamptodon aterrimus 	17264	Dicamptodon aterrimus	294758
GU261696.1	283049063	Gallus gallus jabouillei	16786	Gallus gallus jabouillei	405000
GU261707.1	283049217	Gallus gallus murghi	16784	Gallus gallus murghi	400035
GU475464.1	290544727	Eumetopias jubatus 	16646	Eumetopias jubatus	34886
GU479735.1	290775640	Alainites yixiani	14589	Takobia yixiani	743459
GU936204.1	291191944	Baetis sp.	14883	Baetis sp. PC-2010	745323
HE860496.1	413957312	Longipodacrangonyx sp.	12924	Longipodacrangonyx sp. 1 MDMBR-2012	1200665
HE860498.1	413957340	Metacrangonyx sp.	15012	Metacrangonyx sp. 4 MDMBR-2012	1200663
HE978360.1	529249937	Graphiurus kelleni	16596	Graphiurus kelleni	1223622
HE983623.1	533734218	Pedetes capensis	15370	Pedetes capensis	10023
HG942363.1	619533352	Pandarus rhincodonicus	14480	Pandarus rhincodonicus	1473543
HM004123.1	291464770	Paegniodes cupulatus 	15715	Paegniodes cupulatus	747259
HM034866.1	296100340	Apodemus agrarius 	16260	Apodemus agrarius	39030
HM049636.1	294988720	Cervus albirostris 	16478	Cervus albirostris	1088058
HM060334.1	294679529	Globicephala melas 	16391	Globicephala melas	9731
HM067837.1	295060577	Vietnamella dabieshanensis 	15761	Vietnamella dabieshanensis	756260
HM068584.1	295293590	Pan troglodytes troglodytes	16563	Pan troglodytes troglodytes	37011
HM068591.1	295293688	Pan troglodytes schweinfurthii	16565	Pan troglodytes schweinfurthii	37010
HM138200.1	308277987	Cervus eldi 	16357	Rucervus eldii	1088090
HM641837.1	302151279	Crotalus horridus 	17260	Crotalus horridus	35024
HM856640.1	302702188	Lasmigona subviridis	11969	Lasmigona subviridis	82299
HQ172157.1	306977592	Chelodina rugosa 	16582	Chelodina oblonga	44492
HQ259122.1	309252953	Sericinus montela	15242	Sericinus montela	1678306
HQ269357.1	308912677	Pseudocorticium jarrei	20472	Pseudocorticium jarrei	61082
HQ283347.1	310777630	Anodonta woodiana	16243	Sinanodonta woodiana	1069815
HQ424448.1	316992410	Babylonia lani	15298	Babylonia areolata	304850
HQ441233.1	312284156	Aradacanthia heissi 	15528	Aradacanthia heissi	928818
HQ452830.1	326393836	Onchidium struma	13957	Onchidium reevesii	2547651
HQ622788.1	315142440	Hylobates klossii	16482	Hylobates klossii	9587
HQ622802.1	315142636	Nomascus leucogenys	16490	Nomascus leucogenys	61853
HQ622808.1	315142719	Nomascus concolor	16133	Nomascus concolor	29089
HQ644334.1	316992976	Saimiri sciureus sciureus 	16473	Saimiri sciureus sciureus	190117
HQ644337.1	316993018	Saimiri oerstedii oerstedii 	16473	Saimiri oerstedii oerstedii	867380
HQ644338.1	316993032	Saimiri sciureus macrodon 	16471	Saimiri sciureus macrodon	495300
HQ644340.1	316993060	Saimiri boliviensis peruviensis 	16473	Saimiri boliviensis peruviensis	495297
HQ696579.1	321401395	Boreus elegans 	16803	Boreus elegans	948611
HQ833839.1	326370448	Bryodema luctuosum luctuosum 	15946	Bryodema luctuosum luctuosum	267467
HQ872008.1	325126958	Fergusonina sp.	16000	Fergusonina taylori	991131
HQ875717.1	322506138	Siphluriscus chinensis 	16616	Siphluriscus chinensis	981053
HQ890328.1	325126972	Anser fabalis 	16688	Anser fabalis	132587
HQ897685.1	325127014	Corcyra cephalonica	15273	Corcyra cephalonica	139036
JAIQCD020003380.1	2284739905	Marmota monax	16439	Marmota monax	9995
JAJHUB010000758.1	2280949745	Gulo gulo luscus	16556	Gulo gulo luscus	2888765
JF293093.1	325652625	Rhinopithecus avunculus 	16552	Rhinopithecus avunculus	66062
JF293095.1	325652653	Nasalis concolor 	16561	Simias concolor	170207
JF317638.1	325652435	Chamaeleo chamaeleon musae	17499	Chamaeleo chamaeleon musae	994757
JF317641.1	325652477	Chamaeleo chamaeleon recticrista	17500	Chamaeleo chamaeleon recticrista	994758
JF703228.1	330689167	Calyptocephallela gayi	17994	Calyptocephallela gayi	655848
JF802204.1	333470961	Podocnemis unifilis 	16493	Podocnemis unifilis	227871
JN122000.1	343409114	Coloceras sp.	14869	Coloceras sp. SLC-2011	1075158
JN242415.1	345843311	Ricania marginalis 	15698	Ricania marginalis	1082597
JN392469.1	347448964	Pleurobrachia bachei 	11016	Pleurobrachia bachei	34499
JN540032.1	346421787	Rhinopithecus brelichi 	16548	Rhinopithecus brelichi	224329
JN582335.1	358441296	Cyclemys oldhamii	16656	Cyclemys oldhamii	378289
JN619347.1	353336667	Rhopalocaulis grandidieri	14523	Imerinia grandidieri	3244470
JN632606.1	347801281	Bos javanicus	16519	Bos javanicus	9906
JN632652.1	347801925	Kobus leche	16427	Kobus leche	59531
JN632673.1	347802219	Odocoileus virginianus	16483	Odocoileus virginianus	9874
JN635562.1	347448877	Bactrocera cucurbitae 	15825	Zeugodacus cucurbitae	28588
JN800721.1	355505093	Galeopterus variegatus	16745	Galeopterus variegatus	482537
JN827386.1	356467088	Gondogeneia antarctica 	18424	Gondogeneia antarctica	1109128
JN869311.1	357197588	Oryx dammah 	16756	Oryx dammah	59534
JQ086345.1	372099983	Eremias argus	18521	Eremias argus	118841
JQ398619.1	378744268	Mengenilla sp.	15363	Mengenilla moldrzyki	1155016
JQ686193.1	381342517	Teleogryllus commodus	15870	Teleogryllus commodus	672150
JQ739175.1	384597556	Ceratocombus japonicus 	16597	Ceratocombus japonicus	1172116
JQ739176.1	384597570	Ceratocombus sp.	16646	Ceratocombus sp. HL-2012	1172120
JQ739177.1	384597584	Hypselosoma matsumurae 	15200	Hypselosoma matsumurae	1172117
JQ743670.1	385252389	Acanthosoma labiduroides 	16678	Acanthosoma labiduroides	483951
JQ743674.1	385252403	Lamprocoris sp.	16143	Lamprocoris sp. HL-2012	1176173
JQ743676.1	385252417	Sastragala edessoides 	16358	Sastragala edessoides	1176166
JQ743679.1	385252459	Urostylis sp.	15582	Urostylis sp. HL-2012	1176169
JQ782214.1	385252543	Aratinga acuticaudata acuticaudata 	16998	Thectocercus acuticaudatus acuticaudatus	1176404
JQ917403.1	387765891	Frankliniella intonsa 	15215	Frankliniella intonsa	163893
JQ975176.1	400178569	Artemia sp.	15945	Artemia sp.	6662
JQ975394.1	388597576	Erianthus versicolor 	15397	Erianthus versicolor	470935
JX033120.1	390190790	Rana adenopleura	18982	Babina adenopleura	120495
JX101652.1	393191456	Pseudois nayaur nayaur 	16700	Pseudois nayaur nayaur	1204301
JX101654.1	397788279	Ovis ammon hodgsoni 	16688	Ovis ammon hodgsoni	439458
JX215256.1	398314163	Aratinga mitrata mitrata 	16984	Psittacara mitratus mitratus	1215892
JX218031.1	403225400	Cyclemys fusca 	16491	Cyclemys fusca	1138843
JX219742.1	398314487	Anopheles koliensis	15412	Anopheles koliensis	30065
JX254914.2	666359823	Hydropotes inermis argyropus	16355	Hydropotes inermis argyropus	344906
JX262672.1	403488686	Brachyteles arachnoides	16491	Brachyteles arachnoides	30594
JX312730.1	402244523	Equus hemionus onager	16379	Equus hemionus onager	221981
JX524613.1	407971031	Ara militaris mexicanus	16988	Ara militaris mexicanus	1238172
JX524614.1	407971045	Aratinga rubritorquis	16979	Psittacara rubritorquis	1238232
JX524615.1	407971059	Amazona barbadensis barbadensis	18983	Amazona barbadensis barbadensis	1238238
JX880068.1	440655733	Laodelphax striatella 	16431	Laodelphax striatellus	195883
JX893175.1	410992101	Bombina variegata variegata	18557	Bombina variegata variegata	191472
JX893178.1	410992143	Bombina variegata scabra	17908	Bombina variegata scabra	251232
JX893180.1	410992171	Bombina variegata pachypus	18083	Bombina pachypus	260370
JX913744.1	409031707	Lucilia cuprina	15952	Lucilia cuprina	7375
JX913764.1	440655356	Prionotropis hystrix 	15651	Prionotropis hystrix	197705
JX913766.1	440655384	Trachytettix bufo 	14578	Trachytettix bufo	1260748
JX913767.1	440655398	Trigonopteryx hopei 	16732	Trigonopteryx hopei	62799
JX913773.1	440655468	Hemicharilaus monomorphus 	13291	Hemicharilaus monomorphus	1260737
JX963639.1	422034339	Oscarella sp.	20264	Oscarella sp. violet	1260525
KC185412.1	442539351	Gynaephora menyuanensis 	15770	Gynaephora menyuanensis	1282418
KC461238.1	452889762	Canis lupus desertorum 	16770	Canis lupus desertorum	1295334
KC555032.1	474452681	Tridactylus japonicus 	15352	Xya japonica	1661859
KC578685.1	468110732	Phrynocephalus mystaceus 	16660	Phrynocephalus mystaceus	116118
KC769586.1	571032309	Allothyrus sp.	14578	Allothyrus sp. LamingtonNP-QMS95173	1442165
KC776688.2	1229646326	Mesoplodon europaeus	16343	Mesoplodon europaeus	27616
KC812618.1	510937390	Samia cynthia cynthia 	15345	Samia cynthia cynthia	428388
KC887533.1	513798586	Opistoplatys sp.	15615	Opistoplatys sp. HL-2013	1347747
KC894944.1	514388126	Kamimuria wangi 	16179	Kamimuria wangi	1348646
