Groups	AN	Species
metazoans_mit	CM035080.1	Ursus arctos horribilis
metazoans_mit	CM035931.1	Dreissena polymorpha
metazoans_mit	CM036232.1	Apostichopus californicus
metazoans_mit	CM037077.1	Aphelinus atriplicis
metazoans_mit	CM037747.1	Neodiprion fabricii
metazoans_mit	CM039063.1	Haliotis cracherodii
metazoans_mit	CM039065.1	Actinemys marmorata
metazoans_mit	CM041059.1	Hyles euphorbiae
metazoans_mit	CM042604.1	Camponotus pennsylvanicus
metazoans_mit	CM044936.1	Crotalus oreganus helleri
metazoans_mit	CM045180.1	Tetragnatha versicolor
metazoans_mit	CM045947.1	Drosophila gunungcola
metazoans_mit	CM047416.1	Bolinopsis microptera
metazoans_mit	CM047445.1	Melanerpes formicivorus ecotype bairdi
metazoans_mit	CM048913.1	Pleurodeles waltl
metazoans_mit	CM050223.1	Discoglossus pictus
metazoans_mit	CM051041.1	Congeria kusceri
metazoans_mit	CM051072.1	Dendropsophus ebraccatus
metazoans_mit	CM051844.1	Notamacropus eugenii
metazoans_mit	CM053338.1	Panagrolaimus sp.
metazoans_mit	CM054121.1	Tanypteryx hageni
metazoans_mit	CM054801.1	Pieris mannii
metazoans_mit	CM055129.1	Chamaea fasciata ecotype frontalis
metazoans_mit	CM055130.1	Mirounga angustirostris
metazoans_mit	CM055131.1	Spea hammondii
metazoans_mit	CM055815.1	Condylostylus longicornis
metazoans_mit	CM056048.1	Hyla sarda
metazoans_mit	CM056134.1	Caenorhabditis latens
metazoans_mit	CM057084.1	Oeneis ivallda
metazoans_mit	CM057788.1	Hydractinia echinata
metazoans_mit	CM058039.1	Hypanus sabinus
metazoans_mit	CM059372.1	Auanema freiburgensis
metazoans_mit	CM059830.1	Prenolepis imparis
metazoans_mit	CP059034.1	Oscheius tipulae
metazoans_mit	DQ080046.1	Testudo hermanni partial genome
metazoans_mit	DQ241796.1	Grylloblatta sculleni partial genome
metazoans_mit	DQ256379.1	Kinosternon flavescens partial genome
metazoans_mit	DQ364229.1	Xenos vesparum
metazoans_mit	DQ442915.1	Idotea baltica partial genome
metazoans_mit	DQ533708.1	Stomoxys calcitrans partial genome
metazoans_mit	DQ780883.1	Pelecanus conspicillatus partial genome
metazoans_mit	DQ870926.1	Bombus ignitus
metazoans_mit	DQ917578.1	Bactrocera papayae
metazoans_mit	DQ991928.1	Aplysia vaccaria partial genome
metazoans_mit	DQ991930.1	Bulla sp. partial genome
metazoans_mit	DQ991935.1	Odontoglaja guamensis partial genome
metazoans_mit	DQ991936.1	Onchidella borealis partial genome
metazoans_mit	DQ991937.1	Sagaminopteron nigropunctatus partial genome
metazoans_mit	DQ991938.1	Smaragdinella calyculata partial genome
metazoans_mit	DQ991939.1	Thuridilla gracilis partial genome
metazoans_mit	DQ995281.1	Bactrocera philippinensis
metazoans_mit	EF222187.1	Brookesia superciliaris partial genome
metazoans_mit	EF532932.1	Phoenicopterus ruber roseus
metazoans_mit	EF584003.1	Litopenaeus vannamei
metazoans_mit	EU024653.1	Polistes sp. partial genome
metazoans_mit	EU597124.1	Artogeia melete
metazoans_mit	EU625344.1	Troides aeacus
metazoans_mit	EU827193.1	Calyptraea chinensis partial genome
metazoans_mit	EU880307.1	Calotriton asper partial genome
metazoans_mit	EU880308.1	Chioglossa lusitanica partial genome
metazoans_mit	EU880309.1	Cynops cyanurus partial genome
metazoans_mit	EU880310.1	Cynops ensicauda partial genome
metazoans_mit	EU880312.1	Cynops orphicus partial genome
metazoans_mit	EU880313.1	Cynops pyrrhogaster partial genome
metazoans_mit	EU880315.1	Echinotriton chinhaiensis partial genome
metazoans_mit	EU880316.1	Euproctus montanus partial genome
metazoans_mit	EU880317.1	Euproctus platycephalus partial genome
metazoans_mit	EU880318.1	Lyciasalamandra flavimembris partial genome
metazoans_mit	EU880319.1	Mertensiella caucasica partial genome
metazoans_mit	EU880320.1	Neurergus kaiseri partial genome
metazoans_mit	EU880321.1	Neurergus strauchii partial genome
metazoans_mit	EU880322.1	Notophthalmus meridionalis partial genome
metazoans_mit	EU880323.1	Notophthalmus viridescens partial genome
metazoans_mit	EU880325.1	Pachytriton labiatus partial genome
metazoans_mit	EU880328.1	Paramesotriton laoensis partial genome
metazoans_mit	EU880329.1	Pleurodeles poireti partial genome
metazoans_mit	EU880331.1	Salamandra salamandra partial genome
metazoans_mit	EU880332.1	Salamandrina terdigitata partial genome
metazoans_mit	EU880333.1	Taricha granulosa partial genome
metazoans_mit	EU880334.1	Taricha rivularis partial genome
metazoans_mit	EU880335.1	Mesotriton alpestris partial genome
metazoans_mit	EU880338.1	Ommatotriton vittatus partial genome
metazoans_mit	EU880340.1	Tylototriton asperrimus partial genome
metazoans_mit	FJ207458.1	Myrmeleon immaculatus partial genome*
metazoans_mit	FJ236284.1	Vermivora celata partial genome
metazoans_mit	FJ236285.1	Dendroica coronata partial genome
metazoans_mit	FJ236286.1	Oporornis tolmiei partial genome
metazoans_mit	FJ236287.1	Icterus bullockii partial genome
metazoans_mit	FJ236288.1	Sturnella neglecta partial genome
metazoans_mit	FJ236289.1	Agelaius phoeniceus partial genome
metazoans_mit	FJ236290.1	Melospiza melodia partial genome
metazoans_mit	FJ236291.1	Pipilo maculatus partial genome
metazoans_mit	FJ236292.1	Zonotrichia leucophrys partial genome
metazoans_mit	FJ236293.1	Junco hyemalis partial genome
metazoans_mit	FJ236294.1	Spizella atrogularis partial genome
metazoans_mit	FJ236297.1	Passerina amoena partial genome
metazoans_mit	FJ236298.1	Pheucticus melanocephalus partial genome
metazoans_mit	FJ236299.1	Thraupis episcopus partial genome
metazoans_mit	FJ236300.1	Carpodacus mexicanus partial genome
metazoans_mit	FJ236301.1	Carduelis tristis partial genome
metazoans_mit	FJ456939.1	Aphelocheirus ellipsoideus partial genome
metazoans_mit	FJ456940.1	Diplonychus rusticus partial genome
metazoans_mit	FJ456941.1	Sigara septemlineata partial genome
metazoans_mit	FJ456946.1	Leptopus sp. partial genome
metazoans_mit	FJ478175.1	Schlettererius cinctipes partial genome
metazoans_mit	FJ478176.1	Venturia canescens partial genome
metazoans_mit	FJ478177.1	Enicospilus sp. partial genome
metazoans_mit	FJ605486.1	Haliotis tuberculata coccinea partial genome
metazoans_mit	FJ605487.1	Haliotis tuberculata ssp. partial genome
metazoans_mit	FJ605488.1	Haliotis tuberculata partial genome
metazoans_mit	FJ823227.1	Cephalonomia gallicola partial genome
metazoans_mit	FN666601.1	Parantechinus apicalis partial genome
metazoans_mit	FN666605.1	Dasyurus geoffroii partial genome
metazoans_mit	FO904931.1	Acanthastrea maxima
metazoans_mit	FR989893.2	Biston betularia
metazoans_mit	FR989925.1	Pheosia gnoma
metazoans_mit	FR989981.1	Anthocharis cardamines
metazoans_mit	FR990011.1	Fabriciana adippe
metazoans_mit	FR990041.1	Hesperia comma
metazoans_mit	FR990065.1	Glaucopsyche alexis
metazoans_mit	FR990095.2	Erannis defoliaria
metazoans_mit	FR990121.1	Hedya salicella
metazoans_mit	FR990152.2	Ochlodes sylvanus
metazoans_mit	FR990201.1	Leptidea sinapis
metazoans_mit	FR997693.1	Vespula vulgaris
metazoans_mit	FR997753.1	Ochropleura plecta
metazoans_mit	FR997760.1	Chrysoperla carnea
metazoans_mit	FR997793.1	Autographa pulchrina
metazoans_mit	FR997824.2	Clostera curtula
metazoans_mit	GQ200594.1	Rhinophis philippinus mitochondrion, partial genome
metazoans_mit	GQ200595.1	Charina trivirgata partial genome
metazoans_mit	GQ368656.1	Amphiuma means partial genome
metazoans_mit	GQ368660.1	Pseudobranchus axanthus partial genome
metazoans_mit	GQ368662.1	Cryptobranchus alleganiensis partial genome
metazoans_mit	GQ387650.1	Asphondylia rosetta partial genome
metazoans_mit	GQ387651.1	Bradysia amoena partial genome
metazoans_mit	GU001955.1	Bacillus atticus partial genome
metazoans_mit	GU001956.1	Bacillus rossius partial genome
metazoans_mit	GU097654.1	Phanerotoma flava partial genome
metazoans_mit	GU097655.1	Diachasmimorpha longicaudata partial genome
metazoans_mit	GU097656.1	Macrocentrus camphoraphilus partial genome
metazoans_mit	GU130252.1	Asellus aquaticus partial genome
metazoans_mit	GU130253.1	Eurydice pulchra partial genome
metazoans_mit	GU130254.1	Glyptonotus cf. antarcticus partial genome
metazoans_mit	GU130255.1	Janira maculosa partial genome
metazoans_mit	GU130256.1	Sphaeroma serratum partial genome
metazoans_mit	GU188852.1	Mengenilla australiensis partial genome
metazoans_mit	GU355641.1	Calanus sinicus partial genome
metazoans_mit	GU810158.1	Nerita melanotragus partial genome
metazoans_mit	GU936203.1	Habrophlebiodes zijinensis partial genome
metazoans_mit	HE579083.1	Heliconius melpomene melpomene
metazoans_mit	HE860505.1	Metacrangonyx samanensis partial genome
metazoans_mit	HF548555.1	Aplidium tabarquensis partial genome
metazoans_mit	HG991990.1	Colias croceus
metazoans_mit	HG992022.1	Amphipyra tragopoginis
metazoans_mit	HG992054.3	Ennomos fuscantarius
metazoans_mit	HG992145.1	Lysandra coridon
metazoans_mit	HG992175.1	Laothoe populi
metazoans_mit	HG992208.2	Mellicta athalia
metazoans_mit	HG992273.2	Nymphalis polychloros
metazoans_mit	HG992335.1	Tinea trinotella
metazoans_mit	HG995151.2	Bombus campestris
metazoans_mit	HG995162.2	Pyrochroa serraticornis
metazoans_mit	HG995206.1	Bombus hortorum
metazoans_mit	HG995237.1	Maniola jurtina
metazoans_mit	HG995267.1	Mimas tiliae
metazoans_mit	HG995285.1	Bombus pascuorum
metazoans_mit	HG995318.2	Hecatera dysodea
metazoans_mit	HG995365.1	Lysandra bellargus
metazoans_mit	HG995428.1	Pheosia tremula
metazoans_mit	HG996517.1	Abrostola tripartita
metazoans_mit	HG996553.1	Vespula germanica
metazoans_mit	HG996561.1	Rhagonycha fulva
metazoans_mit	HG998571.1	Boloria selene
metazoans_mit	HG998572.2	Atethmia centrago
metazoans_mit	HM036351.1	Hynobius retardatus partial genome
metazoans_mit	HM036357.1	Hynobius tokyoensis partial genome
metazoans_mit	HM174256.1	Thylaeodus sp. partial genome
metazoans_mit	HM174257.1	Vermetus erectus partial genome
metazoans_mit	HM486073.1	Meloidae sp. partial genome
metazoans_mit	HM544130.1	Ctenomys rionegrensis partial genome
metazoans_mit	HQ232800.1	Hydraena sp.
metazoans_mit	HQ232802.2	Trechini sp.
metazoans_mit	HQ232803.2	Phalacridae sp. 1
metazoans_mit	HQ232804.1	Closteromerus claviger
metazoans_mit	HQ232805.2	Eutrapela ruficollis
metazoans_mit	HQ232806.2	Anaspis sp.
metazoans_mit	HQ232807.1	Zeugophora sp.
metazoans_mit	HQ232808.2	Anthrenus sp.
metazoans_mit	HQ232809.1	Peploptera acromialis
metazoans_mit	HQ232810.1	Elmidae sp.
metazoans_mit	HQ232811.1	Heterocerus fenestratus
metazoans_mit	HQ232812.1	Eulichas sp.
metazoans_mit	HQ232813.2	Melasis buprestoides
metazoans_mit	HQ232814.1	Lycus dentipes
metazoans_mit	HQ232815.1	Drilus flavescens
metazoans_mit	HQ232817.1	Cantharis pellucida
metazoans_mit	HQ232819.2	Ptinus rufipes
metazoans_mit	HQ232820.1	Hylecoetus dermestoides
metazoans_mit	HQ232821.2	Cerylon histeroides
metazoans_mit	HQ232822.2	Tritoma bipustulata
metazoans_mit	HQ232823.1	Boros schneideri
metazoans_mit	HQ232824.1	Mycetophagus quadripustulatus
metazoans_mit	HQ232825.1	Omonadus floralis
metazoans_mit	HQ232826.1	Oedemera virescens
metazoans_mit	HQ232827.1	Ischalia sp.
metazoans_mit	HQ287798.1	Rhinopithecus bieti
metazoans_mit	HQ415764.1	Atta cephalotes
metazoans_mit	HQ596406.1	Paraoncidium reevesii
metazoans_mit	HQ696580.1	Microchorista philpotti partial genome
metazoans_mit	HQ849821.1	Drosophila lacicola partial genome
metazoans_mit	HQ849823.1	Drosophila borealis partial genome
metazoans_mit	HQ849825.1	Drosophila canadiana partial genome
metazoans_mit	HQ849826.1	Drosophila robusta partial genome
metazoans_mit	HQ849827.1	Drosophila kanekoi partial genome
metazoans_mit	HQ849828.1	Drosophila melanica partial genome
metazoans_mit	HQ849829.1	Drosophila flavomontana partial genome
metazoans_mit	HQ849830.1	Drosophila novamexicana partial genome
metazoans_mit	HQ849832.1	Drosophila ezoana partial genome
metazoans_mit	HQ896029.1	Phelsuma laticauda partial genome
metazoans_mit	J01420.1	Mouse
metazoans_mit	JF703232.1	Sooglossus sechellensis partial genome
metazoans_mit	JF739555.1	Opisthorchis viverrini partial genome
metazoans_mit	JF800075.1	Peripatoides sympatrica partial genome
metazoans_mit	JF808722.1	Philotrypesis sp. partial genome
metazoans_mit	JF808723.1	Philotrypesis pilosa partial genome
metazoans_mit	JF816396.1	Ceratosolen solmsi partial genome
metazoans_mit	JN182216.1	Cymbiola pulchra partial genome
metazoans_mit	JN182217.1	Alcithoe benthicola partial genome
metazoans_mit	JN182218.1	Alcithoe flemingi partial genome
metazoans_mit	JN182219.1	Alcithoe lutea partial genome
metazoans_mit	JN182220.1	Alcithoe fusus partial genome
metazoans_mit	JN182221.1	Alcithoe jaculoides partial genome
metazoans_mit	JN182222.1	Alcithoe pseudolutea partial genome
metazoans_mit	JN182223.1	Alcithoe arabica partial genome
metazoans_mit	JN182224.1	Alcithoe tigrina partial genome
metazoans_mit	JN182225.1	Alcithoe fissurata partial genome
metazoans_mit	JN182226.1	Amoria hunteri partial genome
metazoans_mit	JN182227.1	Alcithoe larochei partial genome
metazoans_mit	JN182228.1	Alcithoe wilsonae partial genome
metazoans_mit	JN616263.1	Polyascus gregaria partial genome
metazoans_mit	JN627421.1	Rana ridibundus partial genome
metazoans_mit	JN627422.1	Rana lessonae partial genome
metazoans_mit	JN627424.1	Rana esculenta partial genome
metazoans_mit	JN700934.1	Cassiopea andromeda partial genome
metazoans_mit	JN700937.1	Cyanea capillata partial genome
metazoans_mit	JN700939.1	Linuche unguiculata partial genome
metazoans_mit	JN700940.1	Catostylus mosaicus partial genome
metazoans_mit	JN700941.1	Chrysaora sp. partial genome
metazoans_mit	JN700943.1	Millepora sp. partial genome
metazoans_mit	JN700947.1	Nemopsis bachei partial genome
metazoans_mit	JN700948.1	Obelia longissima partial genome
metazoans_mit	JN700950.1	Pennaria disticha partial genome
metazoans_mit	JN700988.1	Rhizostoma pulmo partial genome
metazoans_mit	JN713150.1	Thysanoessa raschii partial genome
metazoans_mit	JN861743.1	Tipula abdominalis partial genome
metazoans_mit	JN861745.1	Bittacomorphella fenderiana partial genome
metazoans_mit	JN903532.1	Trissolcus basalis partial genome
metazoans_mit	JQ034416.1	Limnichidae sp. partial genome
metazoans_mit	JQ034419.1	Byrrhus sp. partial genome
metazoans_mit	JQ038228.1	Neobenedenia melleni partial genome
metazoans_mit	JQ038229.1	Neomazocraes dorosomatis partial genome
metazoans_mit	JQ038230.1	Polylabroides guangdongensis partial genome
metazoans_mit	JQ038231.1	Pseudorhabdosynochus yangjiangensis partial genome
metazoans_mit	JQ713768.1	Argusianus argus partial genome
metazoans_mit	JQ739178.1	Ammianus toi partial genome
metazoans_mit	JQ739179.1	Coridius chinensis partial genome
metazoans_mit	JQ739181.1	Megymenum brevicorne partial genome
metazoans_mit	JQ739183.1	Peloridora minuta partial genome
metazoans_mit	JQ739184.1	Stephanitis mendica partial genome
metazoans_mit	JQ743671.1	Eucorysses grandis partial genome
metazoans_mit	JQ743675.1	Poecilocoris nepalensis partial genome
metazoans_mit	JQ910986.1	Longivalvus hyalospilus partial genome
metazoans_mit	JQ910987.1	Oncotympana maculaticollis partial genome
metazoans_mit	JQ910990.1	Dicranocephalus femoralis partial genome
metazoans_mit	JX131613.1	Diadromus collaris partial genome
metazoans_mit	JX290083.1	Takydromus sylvaticus partial genome
metazoans_mit	JX312727.2	Equus sp. partial genome
metazoans_mit	JX317746.1	Astrochelys yniphora
metazoans_mit	JX566509.1	Monocellicampa pruni partial genome
metazoans_mit	JX573138.1	Haemaphysalis humerosa partial genome
metazoans_mit	JX913761.1	Pollenia rudis partial genome
metazoans_mit	JX913772.1	Paramastax nigra
metazoans_mit	JX963627.1	Cordulia aenea partial genome
metazoans_mit	KC346251.1	Atta laevigata partial genome
metazoans_mit	KC467056.1	Sinochlora retrolateralis partial genome
metazoans_mit	KC503262.1	Rhipicephalus kohlsi partial genome
metazoans_mit	KC769594.1	Carios marinkellei partial genome
metazoans_mit	KC769597.1	Carios fonsecai partial genome
metazoans_mit	KC769598.1	Antricola marginatus partial genome
metazoans_mit	KC782347.1	Corallium secundum
metazoans_mit	KC782348.1	Corallium laauense
metazoans_mit	KC782350.1	Paragorgia sp.
metazoans_mit	KC782352.1	Corallium imperiale
metazoans_mit	KC782353.1	Corallium kishinouyei
metazoans_mit	KC840676.1	Pterocomma pilosum partial genome
metazoans_mit	KC887536.1	Sphedanolestes impressicollis partial genome
metazoans_mit	KC953095.1	Strix leptogrammica
metazoans_mit	KF199147.1	Quasipaa verrucospinosa partial genome
metazoans_mit	KF199148.1	Quasipaa shini partial genome
metazoans_mit	KF199149.1	Quasipaa jiulongensis partial genome
metazoans_mit	KF199150.2	Nanorana yunnanensis partial genome
metazoans_mit	KF385867.1	Acanthormius sp. partial genome
metazoans_mit	KF385868.1	Therophilus festivus partial genome
metazoans_mit	KF385869.1	Capitonius sp. partial genome
metazoans_mit	KF385870.1	Cardiochiles fuscipennis partial genome
metazoans_mit	KF385871.1	Euurobracon breviterebrae partial genome
metazoans_mit	KF385872.1	Eumacrocentrus sp. partial genome
metazoans_mit	KF385873.1	Homolobus sp. partial genome
metazoans_mit	KF385874.1	Ichneutes sp. partial genome
metazoans_mit	KF385875.1	Pambolus sp. partial genome
metazoans_mit	KF385876.1	Pselaphanus sp. partial genome
metazoans_mit	KF385877.1	Triraphis sp. partial genome
metazoans_mit	KF385878.1	Sigalphus bicolor partial genome
metazoans_mit	KF413894.1	Manta birostris partial genome
metazoans_mit	KF418765.1	Histeromerus sp. partial genome
metazoans_mit	KF437625.2	Ursus deningeri partial genome
metazoans_mit	KF544959.1	Polyphylla laticollis mandshurica partial genome
metazoans_mit	KF562761.1	Anas chathamica partial genome
metazoans_mit	KF661092.1	Canis sp. partial genome
metazoans_mit	KF667527.1	Schizopera knabeni partial genome
metazoans_mit	KF728379.1	Nemertopsis sp.
metazoans_mit	KF756944.1	Apatania sp. partial genome
metazoans_mit	KF785800.1	Paragorgia coralloides partial genome
metazoans_mit	KF938943.1	Batillipes longispinosus partial genome
metazoans_mit	KJ027513.1	Helotrephes semiglobosus semiglobosus partial genome
metazoans_mit	KJ158463.1	Mirza coquereli partial genome
metazoans_mit	KJ397606.1	Lepus corsicanus partial genome
metazoans_mit	KJ397607.1	Lepus arcticus partial genome
metazoans_mit	KJ397608.1	Lepus othus partial genome
metazoans_mit	KJ397612.1	Lepus capensis partial genome
metazoans_mit	KJ397614.1	Lepus californicus partial genome
metazoans_mit	KJ412470.1	Elasmosoma sp. partial genome
metazoans_mit	KJ412471.1	Mirax sp. partial genome
metazoans_mit	KJ412472.1	Paroligoneurus sp. partial genome
metazoans_mit	KJ412473.1	Pseudognaptodon sp. partial genome
metazoans_mit	KJ412474.1	Afrocampsis griseosetosus partial genome
metazoans_mit	KJ412475.1	Phaenocarpa sp. partial genome
metazoans_mit	KJ412476.1	Xiphozele sp. partial genome
metazoans_mit	KJ412477.1	Proterops sp. partial genome
metazoans_mit	KJ434955.1	Erythrocebus patas partial genome
metazoans_mit	KJ434960.1	Lophocebus aterrimus partial genome
metazoans_mit	KJ634155.1	Bathydorus laniger
metazoans_mit	KJ634156.1	Docosaccus maculatus
metazoans_mit	KJ636057.1	Hellula undalis partial genome
metazoans_mit	KJ680303.1	Accipiter soloensis partial genome
metazoans_mit	KJ735511.1	Vespa bicolor partial genome
metazoans_mit	KJ754502.1	Pedetontinus luanchuanensis partial genome
metazoans_mit	KJ778881.1	Coleomegilla maculata
metazoans_mit	KJ778882.1	Cycloneda munda
metazoans_mit	KJ778883.1	Cycloneda sanguinea
metazoans_mit	KJ778884.1	Doru luteipes
metazoans_mit	KJ778885.1	Euschistus variolarius
metazoans_mit	KJ778889.1	Hippodamia tredecimpunctata
metazoans_mit	KJ778890.1	Orius insidiosus
metazoans_mit	KJ792088.1	Leiopelma hamiltoni partial genome
metazoans_mit	KJ914547.1	Rhynchortyx cinctus partial genome
metazoans_mit	KJ938491.1	Teslasena femoralis partial genome
metazoans_mit	KM051016.1	Agaricia fragilis partial genome
metazoans_mit	KM104168.1	Monomachus antipodalis partial genome
metazoans_mit	KM244655.1	Vietnamella sp. partial genome
metazoans_mit	KM244658.1	Lethe confusa partial genome
metazoans_mit	KM244660.1	Propylea japonica partial genome
metazoans_mit	KM244663.1	Leptocorisa sp. partial genome
metazoans_mit	KM244667.1	Vespidae sp. partial genome
metazoans_mit	KM244671.1	Gaeana maculata partial genome
metazoans_mit	KM244672.1	Araneae sp. partial genome
metazoans_mit	KM244674.1	Potamanthus sp. partial genome
metazoans_mit	KM244675.1	Ideopsis vulgaris partial genome
metazoans_mit	KM244682.1	Ameletus sp. partial genome
metazoans_mit	KM244684.1	Siphlonurus sp. partial genome
metazoans_mit	KM244686.1	Opiliones sp. partial genome
metazoans_mit	KM244690.1	Blattodea sp. partial genome
metazoans_mit	KM244698.1	Delias pasithoe parthenope partial genome
metazoans_mit	KM244703.1	Teloganodidae sp. partial genome
metazoans_mit	KM244711.1	Ichneumonidae sp. partial genome
metazoans_mit	KM247362.1	Hylarana krefftii mitochondrion, partial genome
metazoans_mit	KM247363.1	Platymantis vitiensis partial genome
