AN	GI	Species	Genome_length	ncbi_name	ncbi_taxid
LC648960.1	2176618779	Proteomonas sp.	140665	Proteomonas sp. NEIS-1375	2867505
LC648961.1	2176618976	Rhodomonas sp.	136151	Rhodomonas sp. NIES-1730	2867506
LC648962.1	2176619164	Chroomonas debatzensis	146033	Chroomonas debatzensis	2058882
LC648964.1	2176619571	Hemiselmis andersenii	136088	Hemiselmis andersenii	464988
LC648965.1	2176619773	Cryptomonas sp.	129092	Cryptomonas sp. NIES-3952	2867508
LC716140.1	2264236672	Dinophyceae sp.	100773	Dinophyceae sp. MGD	2608282
LC761954.1	2527267979	Pyropia sp.	193090	Pyropia sp. Myanmar_B	3034858
LT622871.1	1079693376	Nemalion sp.	182930	Nemalion sp. H.1444	1907586
MF101412.1	1201281947	Laurencieae sp.	171106	Laurencieae sp.	2007162
MF101414.1	1201282355	Polysiphonia sp.	172973	Polysiphonia sp.	1967842
MF101425.1	1201284659	Leptosiphonia brodiei	169795	Leptosiphonia brodiei	2608611
MF101451.1	1201290080	Chondria sp.	175716	Chondria sp. (in: red algae)	1982705
MF101453.1	1201290493	Palisada sp.	176826	Palisada sp.	1955416
MF101454.1	1201290703	Kapraunia schneideri	163271	Kapraunia schneideri	717899
MF167424.1	1227050477	Glaucocystis sp.	130276	Glaucocystis sp. BBH	2023628
MF591718.1	1500163705	Hapterophycus canaliculatus	133508	Hapterophycus canaliculatus	2567908
MG755791.1	1399236951	Proboscia sp. 	138249	Proboscia sp.	1923967
MG755795.1	1399237508	Licmophora sp.	121184	Licmophora sp.	2115823
MG755797.1	1399237780	Eunotogramma sp. 	172317	Eunotogramma sp.	2219035
MG755801.1	1399238327	Pseudictyota dubia	120381	Pseudictyota dubia	2749911
MG755804.1	1399238735	Discostella pseudostelligera 	129261	Discostella pseudostelligera	259834
MG922855.1	1377537730	Fucus spiralis	125066	Fucus spiralis	87149
MH113811.1	1538979133	Nitzschia palea	119449	Nitzschia palea	303400
MH281627.1	1510250682	Lithothamnion sp.	183822	Lithothamnion sp.	1940749
MH281629.1	1510251111	Renouxia sp.	192307	Renouxia sp.	2485823
MH281630.1	1510251321	Rhodogorgon sp.	190860	Rhodogorgon sp.	2485824
MH285877.1	1481368276	Trachelomonas grandis	113311	Trachelomonas grandis	215769
MH356727.1	1530728959	Seminavis robusta	150905	Seminavis robusta	568900
MH795128.1	1497446007	Synura petersenii	133059	Synura petersenii	52555
MH795129.1	1497446149	Synura sphagnicola	128699	Synura sphagnicola	52556
MH795132.1	1497446594	Neotessella volvocina	130705	Neotessella volvocina	52559
MK058524.1	2158463421	Saccharina sp.	130583	Saccharina sp. Rongfu	2899233
MK212028.1	1769116583	Vischeria stellata	126824	Vischeria stellata	1104407
MK641509.1	2136504162	Kumanoa mahlacensis	183893	Kumanoa mahlacensis	1196387
MK695880.1	1772544214	Neopyropia yezoensis	191977	Pyropia yezoensis	2788
MK798155.1	1956754982	Cryptophyta sp.	139208	Baffinella frigidus	2571260
MN240356.1	2046386683	Betaphycus gelatinus	178394	Betaphycus gelatinus	1191690
MN240357.1	2046386888	Eucheuma denticulatum	177003	Eucheuma denticulatum	305493
MN240358.1	2046387093	Kappaphycus striatus	176763	Kappaphycus striatus	88410
MN276191.1	1783235058	Nanofrustulum shiloi	160994	Nanofrustulum shiloi	210602
MN905507.1	2136504360	Batrachospermum sp.	184902	Batrachospermum sp.	31373
MN935477.1	1922072860	Pedospumella sp.	58577	Pedospumella sp. Jangsampo120217C5	2782409
MN935478.1	1922073065	Poteriospumella lacustris	62910	Poteriospumella lacustris	1117027
MN935479.1	1922073283	Spumella sp.	55641	Spumella sp. Baekdong012001B8	2782410
MT032182.1	1919474797	Sarcopeltis skottsbergii	179603	Sarcopeltis skottsbergii	2765380
MT117916.1	1836274382	Pterocladia lucida	176635	Pterocladia lucida	31408
MT117918.1	1836274581	Pterocladiophila hemisphaerica	68701	Pterocladiophila hemisphaerica	2712948
MT211887.1	1835928319	Corallina officinalis	178183	Corallina officinalis	35170
MT385839.1	2228679560	Cyclotella cryptica 	129273	Cyclotella cryptica	29204
MT742551.1	2072316588	Nitzschia anatoliensis	119434	Nitzschia anatoliensis	2862141
MT873582.1	1946837967	Sargassum hemiphyllum var. chinense	124323	Sargassum hemiphyllum var. chinense	425012
MT902152.1	2231654875	Thalassiosira punctigera	57134	Thalassiosira punctigera	265564
MW561351.1	2239963886	Haslea ostrearia	129019	Haslea ostrearia	67476
MW592700.1	2102348078	Thalassiosira sp.	170005	Thalassiosira sp.	1891026
MW645082.1	2032566430	Haslea silbo	157307	Haslea silbo	1146997
MW660365.1	2166981374	Chaetoceros sp.	116284	Chaetoceros sp. DS1	2814445
MW675665.1	2029230804	Porphyrostromium japonicum contig 539	35287	Porphyrostromium japonicum	1076272
MW675668.1	2029231171	Porphyropsis coccinea contig 559	17654	Porphyropsis coccinea	753677
MW675674.1	2029231567	Erythrotrichia welwitschii contig 48	181144	Erythrotrichia welwitschii	1076257
MW675677.1	2029231937	Erythrotrichia foliiformis contig 240	16833	Erythrotrichia foliiformis	753678
MW675678.1	2029231953	Erythrotrichia foliiformis contig 44	181380	Erythrotrichia foliiformis	753678
MW752443.1	2102348258	Conticribra weissflogii	127601	Conticribra weissflogii	1577725
MW767830.1	2086496965	Sargassum ilicifolium var. conduplicatum	124414	Sargassum ilicifolium var. conduplicatum	246893
MW784163.1	2064310473	Sargassum graminifolium	124563	Sargassum graminifolium	2855562
MW784165.1	2064310753	Sargassum phyllocystum	124392	Sargassum phyllocystum	1219119
MW784166.1	2064310893	Sargassum muticum	124401	Sargassum muticum	74468
MW784167.1	2064311033	Sargassum feldmannii	124258	Sargassum feldmannii	2855561
MW784168.1	2064311173	Sargassum mcclurei	124272	Sargassum mcclurei	127576
MW784169.1	2064311313	Sargassum henslowianum	124450	Sargassum henslowianum	703908
MW810349.1	2043521605	Erythrocystis saccata	165292	Erythrocystis saccata	2822695
MW845775.1	2065945093	Chaetoceros costatus	116845	Chaetoceros costatus	426630
MW845776.1	2065945222	Chaetoceros socialis	117717	Chaetoceros socialis	163503
MW845777.1	2065945354	Chaetoceros pseudocurvisetus	118127	Chaetoceros pseudocurvisetus	426637
MW845778.1	2065945486	Chaetoceros tenuissimus	116523	Chaetoceros tenuissimus	426638
MW845779.1	2065945618	Chaetoceros laevisporus	119034	Chaetoceros laevisporus	1937691
MW845780.1	2065945752	Chaetoceros curvisetus	118222	Chaetoceros curvisetus	230516
MW853965.1	2096847052	Pseudo-nitzschia sp.	158840	Pseudo-nitzschia hainanensis	2775602
MW971520.1	2059418577	Nitzschia inconspicua	139309	Nitzschia inconspicua	303405
MZ156027.1	2049952093	Akkesiphycus lubricus	128910	Akkesiphycus lubricus	3022
MZ156028.1	2049952236	Protohalopteris sp.	131355	Protohalopteris sp.	2843287
MZ156029.1	2049952381	Pterygophora californica	130581	Pterygophora californica	169782
MZ156030.1	2049952524	Pseudochorda nagaii	129340	Pseudochorda nagaii	74379
MZ156031.1	2049952667	Postelsia palmaeformis	129997	Postelsia palmaeformis	105414
MZ156033.1	2049952954	Lessoniopsis littoralis	130839	Lessoniopsis littoralis	169788
MZ156035.1	2049953242	Laminaria ephemera	130610	Laminaria ephemera	309364
MZ156036.1	2049953385	Saccharina subsessilis	130548	Saccharina subsessilis	2173147
MZ156037.1	2049953528	Chorda asiatica	130274	Chorda asiatica	1281577
MZ156038.1	2049953670	Ecklonia arborea	130965	Ecklonia arborea	1849970
MZ156039.1	2049953813	Egregia menziesii	130044	Egregia menziesii	105409
MZ156040.1	2049953956	Ecklonia radicosa	130860	Ecklonia radicosa	169786
MZ156041.1	2049954099	Desmarestia aculeata	129228	Desmarestia aculeata	62298
MZ156043.1	2049954385	Arthrothamnus bifidus	130498	Arthrothamnus bifidus	169778
MZ336051.1	2090990392	Agarophyton chilense	185684	Agarophyton chilense	2510777
MZ336072.1	2090994680	Crassiphycus usneoides	183376	Gracilaria usneoides	172951
MZ336073.1	2090994886	Gracilariopsis chorda	182537	Gracilariopsis chorda	448386
MZ352931.1	2065943869	Chaetoceros gracilis	116421	Chaetoceros neogracilis	240364
MZ365053.1	2073948861	Climaconeis sp.	140389	Climaconeis sp.	2846830
MZ365054.1	2073949001	Climaconeis cf. scalaris	216580	Climaconeis cf. scalaris	2846828
MZ504657.1	2096020273	Alaria sp.	130577	Alaria sp. TTB000023	2860299
MZ520768.1	2125740378	Schizostauron trachyderma	187029	Schizostauron trachyderma	2770866
MZ681958.1	2209408586	Cyanidiaceae sp.	165057	Cyanidiaceae sp.	2866374
MZ681960.1	2209408981	Cyanidioschyzonaceae sp.	147983	Cyanidioschyzonaceae sp. 3	2927042
MZ681961.1	2209409178	Galdieria sp.	167118	Galdieria sp.	2530459
MZ681962.1	2209409369	Boldiaceae sp.	231003	Boldiaceae sp.	2927043
NC_000925.1	11465652	Porphyra purpurea	191028	Porphyra purpurea	2787
NC_000926.1	11467607	Guillardia theta	121524	Guillardia theta	55529
NC_001675.1	11467282	Cyanophora paradoxa	135599	Cyanophora paradoxa	2762
NC_001713.1	11467432	Odontella sinensis	119704	Trieres chinensis	1514140
NC_001799.1	11496534	Toxoplasma gondii	34996	Toxoplasma gondii RH	383379
NC_001840.1	11465393	Cyanidium caldarium	164921	Cyanidium caldarium	2771
NC_002652.1	12545411	Euglena longa	73345	Euglena longa	3037
NC_004799.1	30468047	Cyanidioschyzon merolae	149987	Cyanidioschyzon merolae strain 10D	280699
NC_006137.1	51209843	Gracilaria tenuistipitata var. liui	183883	Gracilaria tenuistipitata var. liui	285951
NC_007288.1	71842220	Emiliania huxleyi	105309	Emiliania huxleyi	2903
NC_007932.1	90994377	Porphyra yezoensis	191952	Pyropia yezoensis	2788
NC_008408.1	115443536	Bigelowiella natans	69166	Bigelowiella natans	227086
NC_008588.1	118410962	Phaeodactylum tricornutum	117369	Phaeodactylum tricornutum	2850
NC_008589.1	118411095	Thalassiosira pseudonana	128814	Thalassiosira pseudonana	35128
NC_009573.1	149071965	Rhodomonas salina	135854	Rhodomonas salina	3034
NC_010772.1	189095288	Heterosigma akashiwo	159370	Heterosigma akashiwo	2829
NC_011600.1	215400692	Vaucheria litorea	115341	Vaucheria litorea	109269
NC_012898.1	242620015	Aureococcus anophagefferens	89599	Aureococcus anophagefferens	44056
NC_012903.1	242624258	Aureoumbra lagunensis	94346	Aureoumbra lagunensis	44058
NC_013498.1	269100994	Ectocarpus siliculosus	139954	Ectocarpus siliculosus	2880
NC_013703.1	283794864	Cryptomonas paramecium	77717	Cryptomonas paramaecium	2898
NC_014267.1	299830295	Kryptoperidinium foliaceum	140426	Kryptoperidinium foliaceum	160619
NC_014287.1	299830503	Durinskia baltica	116470	Durinskia baltica	59809
NC_014340.2	482578347	Chromera velia	120426	Chromera velia	505693
NC_014345.1	301500923	Alveolata sp.	85535	Chromerida sp. RM11	348535
NC_014808.1	315320467	Thalassiosira oceanica	141790	Thalassiosira oceanica CCMP1005	637379
NC_015403.1	330850815	Fistulifera solaris 	134918	Fistulifera solaris	1519565
NC_016703.2	523420608	Phaeocystis antarctica	105512	Phaeocystis antarctica	33657
NC_016731.1	378824466	Synedra acus	116251	Ulnaria acus	1436140
NC_016735.1	376403656	Fucus vesiculosus	124986	Fucus vesiculosus	49266
NC_017754.2	429330004	Eutreptiella gymnastica	67623	Eutreptiella gymnastica	73025
NC_018523.1	403066520	Saccharina japonica	130584	Saccharina japonica	88149
NC_020014.1	435856116	Nannochloropsis gaditana	114989	Nannochloropsis gaditana	72520
NC_020018.1	440801917	Monomorphina aenigmatica	74746	Monomorphina aenigmatica	304863
NC_020371.1	456061976	Pavlova lutheri	95281	Diacronema lutheri	2081491
NC_020460.2	498662898	Euglena viridis	91616	Euglena viridis	3040
NC_020795.1	471434880	Chondrus crispus	180086	Chondrus crispus	2769
NC_021075.1	501673126	Calliarthron tuberculosum	178981	Calliarthron tuberculosum	48942
NC_021189.1	501000113	Pyropia haitanensis	195597	Pyropia haitanensis	1262161
NC_021618.1	519704831	Grateloupia taiwanensis	191270	Phyllymenia taiwanensis	1260292
NC_021637.1	520850646	Phaeocystis globosa	107461	Phaeocystis globosa	33658
NC_022259.1	545907039	Nannochloropsis granulata	117672	Nannochloropsis granulata	43926
NC_022260.1	542687661	Nannochloropsis oculata	117463	Nannochloropsis oculata	43925
NC_022261.1	542687811	Nannochloropsis salina	114882	Microchloropsis salina	2511165
NC_022262.1	543132528	Nannochloropsis limnetica	117806	Nannochloropsis limnetica	120807
NC_022263.1	542687962	Nannochloropsis oceanica	117557	Nannochloropsis oceanica	145522
NC_023133.1	568247562	Porphyridium purpureum	217694	Porphyridium purpureum	35688
NC_023785.1	595789371	Gracilaria salicornia	179757	Gracilaria salicornia	172968
NC_024050.1	630715801	Pyropia perforata	189789	Pyropia perforata	182771
NC_024079.1	662012242	Asterionella formosa	121238	Asterionella formosa	210441
NC_024080.1	662012377	Asterionellopsis glacialis 	146024	Asterionellopsis glacialis	33640
NC_024081.1	662012523	Coscinodiscus radiatus	122213	Coscinodiscus radiatus	33642
NC_024082.1	662012663	Cylindrotheca closterium 	165809	Cylindrotheca closterium	2856
NC_024083.1	662012825	Didymosphenia geminata	117972	Didymosphenia geminata	1115533
NC_024084.1	662012956	Leptocylindrus danicus	125213	Leptocylindrus danicus	163516
NC_024085.1	662015790	Lithodesmium undulatum	122660	Lithodesmium undulatum	59812
NC_024154.1	649130873	Euglenaformis proxima	94185	Euglenaformis proxima	299110
NC_024665.1	671743475	Galdieria sulphuraria	167741	Galdieria sulphuraria	130081
NC_024928.1	699008555	Eunotia naegelii 	152906	Eunotia naegelii	1458866
NC_025310.1	700082471	Chaetoceros simplex	116459	Chaetoceros simplex	156587
NC_025311.1	725650481	Rhizosolenia imbricata	120956	Rhizosolenia imbricata	216768
NC_025312.1	700658129	Roundia cardiophora	126871	Roundia cardiophora	1403802
NC_025313.1	712911877	Cerataulina daemon	120144	Cerataulina daemon	1527800
NC_025314.1	700082608	Thalassiosira weissflogii	127601	Conticribra weissflogii	1577725
NC_026851.1	813423673	Trachydiscus minutus	120091	Trachydiscus minutus	1032745
NC_027093.1	821318180	Lepidodinium chlorophorum	66223	Lepidodinium chlorophorum	107758
NC_027269.1	836643610	Euglenaria anabaena	88487	Euglenaria anabaena	38273
NC_027286.1	836614630	Cryptoglena skujai	106843	Cryptoglena skujai	161229
NC_027287.1	836614704	Monomorphina parapyrum	80147	Monomorphina parapyrum	1664066
NC_027288.1	836614780	Trachelomonas volvocina	85392	Trachelomonas volvocina	103340
NC_027589.1	902686507	Teleaulax amphioxeia	129772	Teleaulax amphioxeia	77931
NC_027721.1	918020172	Pseudo-nitzschia multiseries	111539	Pseudo-nitzschia multiseries	37319
NC_027746.1	918021166	Triparma laevis	117514	Triparma laevis	1534972
NC_028502.1	959121919	Costaria costata	129947	Costaria costata	2872
NC_028503.1	959125800	Undaria pinnatifida	130383	Undaria pinnatifida	74381
NC_028737.1	966203170	Nitzschia sp.	67866	Nitzschia sp. IriIs04	1444690
NC_029134.1	992328951	Sargassum thunbergii	124592	Sargassum thunbergii	127542
NC_029576.1	1002819087	Wildemania schizophylla	193008	Wildemania schizophylla	1134705
NC_029644.1	1004649608	Gracilariopsis lemaneiformis	182505	Gracilariopsis lemaneiformis	2782
NC_029741.1	1011057959	Gymnochlora stellata	67451	Gymnochlora stellata	67809
NC_029742.1	1011058031	Partenskyella glossopodia	72620	Partenskyella glossopodia	552666
NC_029743.1	1011058105	Lotharella vacuolata	71557	Lotharella vacuolata	74820
NC_029856.1	1016882691	Sargassum horneri	124068	Sargassum horneri	74089
NC_029857.1	1016880337	Sporolithon durum	191464	Sporolithon durum	48970
NC_029858.1	1016880541	Gelidium elegans	174748	Gelidium elegans	37200
NC_029859.1	1016880742	Gelidium vagum	179853	Gelidium vagum	35171
NC_029860.1	1016882831	Gracilaria chilensis	185637	Agarophyton chilense	2510777
NC_029861.1	1016880943	Porphyra pulchra	194175	Pyropia pulchra	60925
NC_030338.1	1037241293	Coeloseira compressa	176291	Coeloseira compressa	1852973
NC_031144.1	1070107253	Rhodymenia pseudopalmata	194153	Rhodymenia pseudopalmata	31502
NC_031145.1	1070107455	Ahnfeltia plicata	190451	Ahnfeltia plicata	28023
NC_031146.1	1070107661	Hildenbrandia rubra	180141	Hildenbrandia rubra	31481
NC_031147.1	1070107852	Palmaria palmata	192960	Palmaria palmata	2822
NC_031148.1	1070108057	Asparagopsis taxiformis	177091	Asparagopsis taxiformis	260499
NC_031149.1	1070108261	Gracilaria chorda	182459	Gracilariopsis chorda	448386
NC_031161.1	1070108647	Dasya binghamiae	177213	Dasya binghamiae	1896963
NC_031167.1	1070109006	Mastocarpus papillatus	184382	Mastocarpus papillatus	31436
NC_031168.1	1070109209	Schimmelmannia schousboei	181030	Schimmelmannia schousboei	173468
NC_031169.1	1070109412	Schizymenia dubyi	183959	Schizymenia dubyi	38368
NC_031170.1	1070109617	Sebdenia flabellata	192140	Sebdenia flabellata	42024
NC_031171.1	1070109823	Thorea hispida	175193	Thorea hispida	202687
NC_031172.1	1070110017	Apophlaea sinclairii	182437	Apophlaea sinclairii	212746
NC_031173.1	1070110207	Bangiopsis subsimplex	204784	Bangiopsis subsimplex	139980
NC_031174.1	1070110402	Ceramium japonicum	171634	Ceramothamnion japonicum	218448
NC_031175.1	1070110602	Porphyridium sordidum	259429	Porphyridium sordidum	28024
NC_031176.2	1236512059	Erythrotrichia carnea	210691	Erythrotrichia carnea	35151
NC_031177.1	1070110988	Hildenbrandia rivularis	189725	Hildenbrandia rivularis	135206
NC_031178.1	1070064255	Kumanoa americana	184025	Kumanoa americana	1196377
NC_031179.1	1070111173	Plocamium cartilagineum	171392	Plocamium cartilagineum	31452
NC_031211.1	1070113604	Ceramium sungminbooi	171923	Campylaephora sungminbooi	1896769
NC_031425.1	1079488453	Toxarium undulatum	141681	Toxarium undulatum	210620
NC_031654.1	1088582004	Helminthora furcellata	184585	Helminthora furcellata	1884666
NC_031655.1	1088582298	Dermonema virens	184997	Dermonema virens	1077399
NC_031656.1	1088582587	Dichotomaria marginata	184395	Dichotomaria marginata	268567
NC_031657.1	1088582917	Galaxaura rugosa	181215	Galaxaura rugosa	268570
NC_031658.1	1088583216	Helminthocladia australis	185694	Helminthocladia australis	260093
NC_031659.1	1088583482	Hommersandiophycus borowitzkae	184728	Hommersandiophycus borowitzkae	268573
NC_031660.1	1088583743	Izziella formosana	183248	Izziella formosana	1653389
NC_031661.1	1088584093	Liagora harveyana	182933	Liagora harveyana	406718
NC_031662.1	1088584386	Liagoropsis maxima	189564	Liagoropsis maxima	1653392
NC_031663.1	1088584710	Neoizziella asiatica	183313	Neoizziella asiatica	1077397
NC_031664.1	1088585058	Scinaia undulata	183795	Scinaia undulata	1884664
NC_031665.1	1088585393	Titanophycus setchellii	183356	Titanophycus setchellii	940129
NC_031666.1	1088585687	Yamadaella caenomyce	182460	Yamadaella caenomyce	259029
NC_031667.1	1088585965	Liagora brachyclada	182937	Liagora brachyclada	1884665
NC_031668.1	1088586234	Trichogloeopsis pedicelleta	183497	Trichogloeopsis pedicellata	1495610
NC_032041.1	1111669101	Membranoptera platyphylla	176159	Membranoptera platyphylla	1204437
NC_032045.1	1111669478	Pleurocladia lacustris	138815	Pleurocladia lacustris	246121
NC_032288.1	1125812227	Coccophora langsdorfii	124450	Coccophora langsdorfii	74099
NC_032396.1	1125814121	Membranoptera weeksiae	176070	Membranoptera weeksiae	158720
NC_032399.1	1125814334	Membranoptera tenuis	176031	Membranoptera tenuis	158698
NC_033877.1	1150147874	Gracilaria firma	187001	Gracilaria firma	2510791
NC_034776.1	1197710964	Boldia erythrosiphon	226658	Boldia erythrosiphon	74908
NC_034787.1	1197512734	Bulboplastis apyrenoidosa	610063	Bulboplastis apyrenoidosa	1070855
NC_035156.1	1211677883	Euglena archaeoplastidiata	97245	Euglena archaeoplastidiata	1188008
NC_035231.1	1215836001	Sheathia arcuata	187354	Sheathia arcuata	340433
NC_035257.1	1215837215	Dipterocladia arabiensis	173119	Dipterocladia arabiensis	2007176
NC_035258.1	1215837422	Platysiphonia delicata	171598	Platysiphonia delicata	2006979
NC_035259.1	1215786461	Laurenciella marilzae	172014	Laurenciella marilzae	1413812
NC_035260.1	1215837633	Acrosorium ciliolatum	176064	Acrosorium ciliolatum	1550622
NC_035261.1	1215837845	Periphykon beckeri	168283	Periphykon beckeri	2006982
NC_035262.1	1215838054	Osmundaria fimbriata	183995	Osmundaria fimbriata	228265
NC_035263.1	1215838283	Caloglossa monosticha	165111	Caloglossa monosticha	76906
NC_035264.1	1215838489	Bostrychia tenella	170809	Bostrychia tenella	324755
NC_035265.1	1215838701	Caloglossa intermedia	166397	Caloglossa intermedia	100879
NC_035266.1	1215838916	Bostrychia moritziana	171750	Bostrychia moritziana	103713
NC_035268.1	1215839351	Bostrychia simpliciuscula	167514	Bostrychia simpliciuscula	324754
NC_035269.1	1215839558	Caloglossa beccarii	165038	Caloglossa beccarii	131038
NC_035270.1	1215839765	Polysiphonia sertularioides	166000	Polysiphonia sertularioides	945028
NC_035271.1	1215839974	Rhodomela confervoides	175951	Rhodomela confervoides	35163
NC_035272.1	1215840191	Polysiphonia brodiei	169795	Leptosiphonia brodiei	2608611
NC_035273.1	1215840408	Vertebrata thuyoides	168951	Vertebrata thuyoides	2006970
NC_035274.1	1215840621	Polysiphonia elongata	168290	Polysiphonia elongata	159753
NC_035275.1	1215840832	Polysiphonia stricta	169061	Polysiphonia stricta	173545
NC_035276.1	1215841039	Bryothamnion seaforthii	175547	Alsidium seaforthii	2007182
NC_035277.1	1215841261	Polysiphonia infestans	165237	Polysiphonia infestans	2006978
NC_035278.1	1215841474	Vertebrata isogona	167445	Vertebrata isogona	2006944
NC_035279.1	1215841685	Herposiphonia versicolor	166895	Herposiphonia versicolor	2007163
NC_035280.1	1215841894	Dasya naccarioides	170970	Dasya naccarioides	2007180
NC_035281.1	1215842100	Melanothamnus harveyi	164979	Melanothamnus harveyi	397005
NC_035282.1	1215842312	Polysiphonia scopulorum	168001	Polysiphonia scopulorum	257860
NC_035283.1	1215842524	Vertebrata australis	167318	Vertebrata australis	1967852
NC_035284.1	1215842729	Ophidocladus simpliciusculus	168531	Ophidocladus simpliciusculus	1261574
NC_035285.1	1215842938	Spyridia filamentosa	175578	Spyridia filamentosa	196632
NC_035286.1	1215843161	Thuretia quercifolia	174510	Thuretia quercifolia	189650
NC_035287.1	1215843378	Dasyclonium flaccidum	170203	Dasyclonium flaccidum	2007274
NC_035288.1	1215843588	Dipterosiphonia australica	169341	Dipterosiphonia australica	2007208
NC_035289.1	1215843798	Sonderella linearis	169619	Sonderella linearis	110477
NC_035290.1	1215844005	Gredgaria maugeana	167948	Gredgaria maugeana	2007213
NC_035291.1	1215844214	Thaumatella adunca	169659	Thaumatella adunca	2006976
NC_035292.1	1215844422	Lophocladia kuetzingii	175085	Lophocladia kuetzingii	675577
NC_035293.1	1215844649	Kuetzingia canaliculata	178949	Kuetzingia canaliculata	228262
NC_035294.1	1215844873	Cliftonaea pectinata	174482	Cliftonaea pectinata	2007206
NC_035295.1	1215845093	Taenioma perpusillum	163418	Taenioma perpusillum	210852
NC_035296.1	1215845300	Polysiphonia schneideri	163271	Kapraunia schneideri	717899
NC_035297.1	1215786666	Dictyomenia sonderi	168768	Dictyomenia sonderi	2007178
NC_035298.1	1215845508	Digenea simplex	174848	Digenea simplex	945030
NC_035299.1	1215845721	Tolypiocladia glomerulata	165623	Tolypiocladia glomerulata	860646
NC_035350.1	1215848283	Compsopogon caeruleus	221013	Compsopogon caeruleus	31354
NC_035573.1	1236517715	Porphyra umbilicalis	190173	Porphyra umbilicalis	2786
NC_035720.1	1238820786	Cryptomonas curvata	128285	Cryptomonas curvata	233186
NC_035721.1	1238820933	Chroomonas placoidea	139432	Chroomonas placoidea	173977
NC_036804.1	1340296591	Dictyopteris divaricata	126099	Dictyopteris divaricata	156996
NC_036937.1	1347725299	Chrysochromulina parva	104520	Chrysochromulina parva	127563
NC_037841.1	1418579793	Grateloupia filicina	195990	Grateloupia filicina	31455
NC_037995.1	1418586991	Plagiogramma staurophorum	201816	Plagiogramma staurophorum	1003089
NC_037996.1	1418587140	Rhizosolenia setigera	121011	Sundstroemia setigera	3005
NC_037997.1	1418587279	Plagiogrammopsis vanheurckii 	139305	Plagiogrammopsis vanheurckii	1234821
NC_037998.1	1418587414	Guinardia striata	122145	Guinardia striata	1514137
NC_037999.1	1418587553	Attheya longicornis 	129565	Attheya longicornis	451786
