AN	GI	Species	Genome_length	ncbi_name	ncbi_taxid
NC_024757.1	674840704	Chlorotetraedron incus 	38406	Chlorotetraedron incus	162317
NC_024760.1	674840740	Mychonastes homosphaera	25149	Mychonastes homosphaera	31300
NC_024761.1	674840754	Neochloris aquatica	38021	Neochloris aquatica	3099
NC_024762.1	674840770	Ourococcus multisporus	49705	Ourococcus multisporus	132186
NC_024763.1	674840791	Pseudomuriella schumacherensis	43134	Pseudomuriella schumacherensis	889459
NC_025413.1	712912119	Chlorella variabilis	78500	Chlorella variabilis	554065
NC_026009.1	741870561	Auxenochlorella protothecoides 	57274	Auxenochlorella protothecoides	3075
NC_027060.1	821316988	Lobosphaera incisa	69997	Lobosphaera incisa	312850
NC_027722.1	918020277	Botryococcus braunii 	84583	Botryococcus braunii	38881
NC_031504.1	1088472482	Pyramimonas parkeae 	43294	Pyramimonas parkeae	36894
NC_033969.1	1150150426	Yamagishiella unicocca	30876	Yamagishiella unicocca	51707
NC_036614.1	1330355580	Cymbomonas tetramitiformis	73520	Cymbomonas tetramitiformis	36881
NC_036659.1	1331211015	Pectinodesmus pectinatus 	32195	Pectinodesmus pectinatus	91197
NC_038217.1	1442330033	Caulerpa lentillifera 	209034	Caulerpa lentillifera	148947
NC_042490.1	1678645830	Chloropicon primus	37892	Chloropicon primus	1764295
NC_042491.1	1678645866	Picocystis salinarum	41858	Picocystis salinarum	88271
NC_042492.1	1678645903	Chloropicon laureae	37769	Chloropicon laureae	464258
NC_042598.1	1693285113	Chloropicon sieburthii	37591	Chloropicon sieburthii	1764286
NC_042599.1	1693285172	Chloropicon roscoffensis	38736	Chloropicon roscoffensis	1461544
NC_042600.1	1693285268	Chloropicon mariensis	35545	Chloropicon mariensis	1606511
NC_042601.1	1693285328	Chloroparvula japonica	40432	Chloroparvula japonica	1411623
NC_042602.1	1693285389	Chloropicon maureeniae	36041	Chloropicon maureeniae	1461542
NC_042603.1	1693285448	Chloroparvula pacifica	49744	Chloroparvula pacifica	1883388
NC_045058.1	1770690688	Prototheca zopfii 	39222	Prototheca bovis	2509265
NC_045361.1	1783497121	Ostreobium quekettii	241739	Ostreobium quekettii	121088
NC_045362.1	1783497176	Chlorella vulgaris	87477	Chlorella vulgaris	3077
NC_045363.1	1783497212	Scherffelia dubia	78958	Scherffelia dubia	3190
NC_045849.1	1812100378	Caulerpa ashmeadii	197427	Caulerpa ashmeadii	177078
NC_046060.1	1819291170	Jaagichlorella roystonensis 	130507	Jaagichlorella roystonensis	1052852
NC_046779.1	1829768140	Jenufa perforata	27198	Jenufa perforata	993091
NC_046780.1	1829768154	Jenufa minuta	41488	Jenufa minuta	993092
NC_048526.1	1847694119	Codium fragile 	45971	Codium fragile	3133
NC_048968.1	1863124765	Jaagichlorella hainangensis	54084	Jaagichlorella hainangensis	445995
NC_051461.1	1935445095	Ankistrodesmus falcatus	41048	Ankistrodesmus falcatus	52960
NC_053575.1	2017994467	Edaphochlamys debaryana	19319	Edaphochlamys debaryana	47281
NC_053628.1	2017998631	Ulva australis	64466	Ulva australis	111616
NC_053629.1	2017998652	Ulva fenestrata	59026	Ulva fenestrata	83795
NC_053630.1	2017998672	Ulva gigantea	66743	Ulva gigantea	523338
NC_053631.1	2017998698	Ulva lacinulata 	79723	Ulva lacinulata	2806530
NC_053632.1	2017998725	Ulva sp. 	88318	Ulva sp. A AF-2021	2847172
NC_060308.1	2192910688	Micractinium variabile 	65047	Micractinium variabile	2726146
NC_063650.1	2248505951	Chlorella ohadii 	52560	Chlorella ohadii	2649997
NC_066038.1	2301280699	Symbiochloris sp.	59508	Symbiochloris sp. SG-2018	2126034
NC_066039.1	2301280732	Tetraselmis marina 	51196	Tetraselmis marina	41888
NC_066824.1	2312623751	Gormaniella terricola 	66927	Gormaniella terricola	2904618
NC_070397.1	2431532843	Monoraphidium dybowskii 	66204	Monoraphidium dybowskii	81818
NC_072925.1	2473930206	Gayralia brasiliensis 	95884	Gayralia brasiliensis	1286870
NC_072926.1	2473930236	Monostroma nitidum 	95867	Monostroma nitidum	138667
OK569792.1	2175794227	Chlorella desiccata (nom. nud.) 	40231	Nannochloris sp. 'desiccata'	1650286
OP778184.1	2424427817	Chlorolobion braunii 	66204	Chlorolobion braunii	34112
NC_001638.1	11467088	Chlamydomonas reinhardtii	15758	Chlamydomonas reinhardtii	3055
NC_037449.1	1381389463	Prototheca ciferrii	38164	Prototheca ciferrii	1973153
